Originated Stadium,Destination Stadium,Distance
Angel Stadium,Dodger Stadium,50.00
Angel Stadium,Petco Park,110.00
Busch Stadium,Great American Ball Park,310.00
Busch Stadium,Kauffman Stadium,235.00
Busch Stadium,Minute Maid Park,680.00
Busch Stadium,Target Field,465.00
Chase Field,Coors Field,580.00
Chase Field,Globe Life Park in Arlington,870.00
Chase Field,Minute Maid Park,1115.00
Chase Field,Oakland-Alameda County Coliseum,650.00
Chase Field,Petco Park,300.00
Citi Field,Fenway Park,195.00
Citi Field,Yankee Stadium,50.00
Citizens Bank Park,Oriole Park at Camden Yards,90.00
Citizens Bank Park,Yankee Stadium,80.00
Comerica Park,Guaranteed Rate Field,240.00
Comerica Park,Progressive Field,90.00
Comerica Park,Rogers Centre,210.00
Coors Field,Chase Field,580.00
Coors Field,Globe Life Park in Arlington,650.00
Coors Field,Kauffman Stadium,560.00
Coors Field,Petco Park,830.00
Dodger Stadium,Angel Stadium,50.00
Dodger Stadium,Oakland-Alameda County Coliseum,340.00
Dodger Stadium,Target Field,1500.00
Fenway Park,Citi Field,195.00
Fenway Park,Marlins Park,1255.00
Fenway Park,Rogers Centre,430.00
Globe Life Park in Arlington,Chase Field,870.00
Globe Life Park in Arlington,Coors Field,650.00
Globe Life Park in Arlington,Kauffman Stadium,460.00
Globe Life Park in Arlington,Minute Maid Park,230.00
Globe Life Park in Arlington,SunTrust Park,740.00
Great American Ball Park,Busch Stadium,310.00
Great American Ball Park,Guaranteed Rate Field,250.00
Great American Ball Park,PNC Park,260.00
Great American Ball Park,Progressive Field,225.00
Great American Ball Park,SunTrust Park,375.00
Great American Ball Park,Tropicana Field,790.00
Guaranteed Rate Field,Comerica Park,240.00
Guaranteed Rate Field,Great American Ball Park,250.00
Guaranteed Rate Field,Wrigley Field,50.00
Kauffman Stadium,Busch Stadium,235.00
Kauffman Stadium,Coors Field,560.00
Kauffman Stadium,Globe Life Park in Arlington,460.00
Kauffman Stadium,Wrigley Field,415.00
Las Vegas Stadium,Chase Field,250.00
Las Vegas Stadium,Dodger Stadium,300.00
Las Vegas Stadium,Oakland-Alameda County Coliseum,325.00
Marlins Park,Fenway Park,1255.00
Marlins Park,Minute Maid Park,965.00
Marlins Park,Nationals Park,930.00
Marlins Park,SunTrust Park,600.00
Marlins Park,Tropicana Field,210.00
Miller Park,Rogers Centre,430.00
Miller Park,Target Field,300.00
Miller Park,Wrigley Field,80.00
Minute Maid Park,Busch Stadium,680.00
Minute Maid Park,Chase Field,1115.00
Minute Maid Park,Globe Life Park in Arlington,230.00
Minute Maid Park,Marlins Park,965.00
Minute Maid Park,Tropicana Field,790.00
Nationals Park,Marlins Park,930.00
Nationals Park,Oriole Park at Camden Yards,50.00
Nationals Park,PNC Park,195.00
Nationals Park,SunTrust Park,560.00
Oakland-Alameda County Coliseum,Chase Field,650.00
Oakland-Alameda County Coliseum,Dodger Stadium,340.00
Oakland-Alameda County Coliseum,Oracle Park,50.00
Oracle Park,Oakland-Alameda County Coliseum,50.00
Oracle Park,Safeco Field,680.00
Oriole Park at Camden Yards,Citizens Bank Park,90.00
Oriole Park at Camden Yards,Nationals Park,50.00
PNC Park,Great American Ball Park,260.00
PNC Park,Nationals Park,195.00
PNC Park,Progressive Field,115.00
PNC Park,Rogers Centre,225.00
PNC Park,Yankee Stadium,315.00
Petco Park,Angel Stadium,110.00
Petco Park,Chase Field,300.00
Petco Park,Coors Field,830.00
Progressive Field,Comerica Park,90.00
Progressive Field,Great American Ball Park,225.00
Progressive Field,PNC Park,115.00
Rogers Centre,Comerica Park,210.00
Rogers Centre,Fenway Park,430.00
Rogers Centre,Miller Park,430.00
Rogers Centre,PNC Park,225.00
Rogers Centre,Safeco Field,2070.00
Safeco Field,Oracle Park,680.00
Safeco Field,Rogers Centre,2070.00
Safeco Field,Target Field,1390.00
SunTrust Park,Globe Life Park in Arlington,740.00
SunTrust Park,Great American Ball Park,375.00
SunTrust Park,Marlins Park,600.00
SunTrust Park,Nationals Park,560.00
Target Field,Busch Stadium,465.00
Target Field,Dodger Stadium,1500.00
Target Field,Miller Park,300.00
Target Field,Safeco Field,1390.00
Tropicana Field,Great American Ball Park,790.00
Tropicana Field,Marlins Park,210.00
Tropicana Field,Minute Maid Park,790.00
Wrigley Field,Guaranteed Rate Field,50.00
Wrigley Field,Kauffman Stadium,415.00
Wrigley Field,Miller Park,80.00
Yankee Stadium,Citi Field,50.00
Yankee Stadium,Citizens Bank Park,80.00
Yankee Stadium,PNC Park,315.00
